word, flag , t.openid 
公司," 166,851 "," 166,851 "
说," 128,212 "," 128,212 "
您好," 126,553 "," 126,553 "
捷信," 93,605 "," 93,605 "
额度," 80,743 "," 80,743 "
幺," 79,268 "," 79,268 "
女士," 75,324 "," 75,324 "
时间," 71,042 "," 71,042 "
请问," 69,653 "," 69,653 "
帮," 69,190 "," 69,190 "
月," 65,925 "," 65,925 "
钱," 62,248 "," 62,248 "
贷款," 61,829 "," 61,829 "
消费," 61,457 "," 61,457 "
行," 56,964 "," 56,964 "
还款," 56,651 "," 56,651 "
办理," 56,173 "," 56,173 "
工号," 53,979 "," 53,979 "
噢," 53,965 "," 53,965 "
捷," 52,508 "," 52,508 "
电话," 52,156 "," 52,156 "
你好," 47,671 "," 47,671 "
信," 46,926 "," 46,926 "
查询," 45,487 "," 45,487 "
手机," 45,334 "," 45,334 "
活动," 44,987 "," 44,987 "
先," 44,856 "," 44,856 "
再见," 44,588 "," 44,588 "
三千," 44,245 "," 44,245 "
做," 41,547 "," 41,547 "
贷," 39,464 "," 39,464 "
申请," 37,248 "," 37,248 "
耽误," 31,737 "," 31,737 "
记录," 31,647 "," 31,647 "
打扰," 30,552 "," 30,552 "
一笔," 30,427 "," 30,427 "
生活," 29,499 "," 29,499 "
想," 28,700 "," 28,700 "
不用," 28,664 "," 28,664 "
愉快," 27,811 "," 27,811 "
利息," 25,578 "," 25,578 "
系统," 25,367 "," 25,367 "
办," 25,298 "," 25,298 "
打电话," 25,194 "," 25,194 "
一分钟," 24,844 "," 24,844 "
问," 22,727 "," 22,727 "
金额," 22,192 "," 22,192 "
合同," 22,176 "," 22,176 "
合作," 20,882 "," 20,882 "
祝您," 20,268 "," 20,268 "
有没有," 20,242 "," 20,242 "
银行卡," 19,168 "," 19,168 "
身份证," 18,886 "," 18,886 "
信息," 18,124 "," 18,124 "
查," 17,610 "," 17,610 "
五万," 17,509 "," 17,509 "
一个月," 17,362 "," 17,362 "
谢谢," 16,959 "," 16,959 "
担保," 16,871 "," 16,871 "
稍后," 16,782 "," 16,782 "
邀请," 16,673 "," 16,673 "
三个," 16,260 "," 16,260 "
期," 15,974 "," 15,974 "
对对," 15,082 "," 15,082 "
简单," 14,986 "," 14,986 "
到时候," 13,960 "," 13,960 "
来电," 13,861 "," 13,861 "
请," 13,509 "," 13,509 "
张," 13,485 "," 13,485 "
稍等一下," 13,403 "," 13,403 "
号码," 13,136 "," 13,136 "
稍," 12,903 "," 12,903 "
三万," 12,850 "," 12,850 "
本金," 12,419 "," 12,419 "
资金," 12,408 "," 12,408 "
明天," 12,308 "," 12,308 "
手机号码," 12,302 "," 12,302 "
听," 12,268 "," 12,268 "
完," 11,772 "," 11,772 "
后期," 11,694 "," 11,694 "
买," 11,665 "," 11,665 "
银行," 11,620 "," 11,620 "
号," 11,529 "," 11,529 "
零零," 11,512 "," 11,512 "
两个," 11,458 "," 11,458 "
工作," 11,430 "," 11,430 "
记得," 11,383 "," 11,383 "
信用," 11,134 "," 11,134 "
客户经理," 11,035 "," 11,035 "
一万," 11,004 "," 11,004 "
抵押," 10,871 "," 10,871 "
点," 10,753 "," 10,753 "
无担保," 10,716 "," 10,716 "
如果说," 10,700 "," 10,700 "
征信," 10,483 "," 10,483 "
需要的话," 10,423 "," 10,423 "
收入," 10,415 "," 10,415 "
五点," 10,393 "," 10,393 "
分," 10,358 "," 10,358 "
介绍," 10,269 "," 10,269 "
好好," 10,217 "," 10,217 "
事," 10,140 "," 10,140 "
逾期," 10,102 "," 10,102 "
下载," 10,100 "," 10,100 "
找," 10,025 "," 10,025 "
两万," 10,004 "," 10,004 "
相关," 9,992 "," 9,992 "
通话," 9,955 "," 9,955 "
app," 9,948 "," 9,948 "
选择," 9,895 "," 9,895 "
元," 9,887 "," 9,887 "
一点," 9,660 "," 9,660 "
没关系," 9,619 "," 9,619 "
麻烦," 9,357 "," 9,357 "
金融," 9,154 "," 9,154 "
高," 9,134 "," 9,134 "
暂时," 9,128 "," 9,128 "
老客户," 9,094 "," 9,094 "
核对," 8,984 "," 8,984 "
不好意思," 8,881 "," 8,881 "
提前还款," 8,827 "," 8,827 "
扣," 8,758 "," 8,758 "
费用," 8,734 "," 8,734 "
手机号," 8,494 "," 8,494 "
两," 8,456 "," 8,456 "
卡," 8,430 "," 8,430 "
回访," 8,326 "," 8,326 "
报," 8,298 "," 8,298 "
讲," 8,237 "," 8,237 "
这笔," 8,200 "," 8,200 "
客服," 8,198 "," 8,198 "
有个," 8,197 "," 8,197 "
算," 8,147 "," 8,147 "
新," 7,899 "," 7,899 "
每月," 7,856 "," 7,856 "
两分钟," 7,825 "," 7,825 "
下午," 7,818 "," 7,818 "
致电," 7,777 "," 7,777 "
常用," 7,771 "," 7,771 "
五折," 7,747 "," 7,747 "
短信," 7,721 "," 7,721 "
中国人民银行," 7,700 "," 7,700 "
回," 7,669 "," 7,669 "
块," 7,558 "," 7,558 "
确认," 7,525 "," 7,525 "
七万," 7,493 "," 7,493 "
名字," 7,461 "," 7,461 "
提供," 7,428 "," 7,428 "
期数," 7,426 "," 7,426 "
明白," 7,425 "," 7,425 "
免费," 7,341 "," 7,341 "
单位," 7,294 "," 7,294 "
情况," 7,277 "," 7,277 "
考虑一下," 7,254 "," 7,254 "
发," 7,002 "," 7,002 "
优质," 6,885 "," 6,885 "
地址," 6,884 "," 6,884 "
长," 6,807 "," 6,807 "
同事," 6,783 "," 6,783 "
优惠," 6,704 "," 6,704 "
上班," 6,698 "," 6,698 "
账," 6,648 "," 6,648 "
二十," 6,421 "," 6,421 "
两千," 6,343 "," 6,343 "
到手," 6,323 "," 6,323 "
一千," 6,315 "," 6,315 "
留," 6,312 "," 6,312 "
几个," 6,281 "," 6,281 "
提前," 6,188 "," 6,188 "
太," 6,178 "," 6,178 "
中," 6,106 "," 6,106 "
接听," 6,018 "," 6,018 "
块钱," 6,017 "," 6,017 "
嘞," 5,986 "," 5,986 "
告诉," 5,982 "," 5,982 "
朋友," 5,883 "," 5,883 "
三五," 5,879 "," 5,879 "
自动," 5,858 "," 5,858 "
八五," 5,835 "," 5,835 "
好像," 5,813 "," 5,813 "
五千," 5,784 "," 5,784 "
享受," 5,757 "," 5,757 "
没事," 5,736 "," 5,736 "
日," 5,700 "," 5,700 "
购买," 5,678 "," 5,678 "
贷款额度," 5,528 "," 5,528 "
九五," 5,475 "," 5,475 "
只能," 5,467 "," 5,467 "
姓名," 5,464 "," 5,464 "
转," 5,459 "," 5,459 "
六万," 5,446 "," 5,446 "
感谢您," 5,436 "," 5,436 "
地方," 5,401 "," 5,401 "
回答," 5,351 "," 5,351 "
现金," 5,234 "," 5,234 "
话," 5,200 "," 5,200 "
东西," 5,154 "," 5,154 "
关系," 5,125 "," 5,125 "
核实," 5,084 "," 5,084 "
第三方," 5,081 "," 5,081 "
王," 5,068 "," 5,068 "
二七," 5,043 "," 5,043 "
一号," 5,022 "," 5,022 "
接," 5,019 "," 5,019 "
业务," 5,016 "," 5,016 "
微信," 4,998 "," 4,998 "
需求," 4,998 "," 4,998 "
忙," 4,958 "," 4,958 "
服务," 4,955 "," 4,955 "
四万," 4,947 "," 4,947 "
通知," 4,853 "," 4,853 "
打到," 4,847 "," 4,847 "
三百," 4,836 "," 4,836 "
一块," 4,830 "," 4,830 "
一年," 4,788 "," 4,788 "
在线," 4,701 "," 4,701 "
测评," 4,685 "," 4,685 "
五十," 4,646 "," 4,646 "
拨打," 4,605 "," 4,605 "
显示," 4,529 "," 4,529 "
理解," 4,529 "," 4,529 "
三七," 4,515 "," 4,515 "
毛," 4,502 "," 4,502 "
不想," 4,487 "," 4,487 "
加," 4,473 "," 4,473 "
肯定," 4,471 "," 4,471 "
名额," 4,458 "," 4,458 "
年," 4,413 "," 4,413 "
不好," 4,390 "," 4,390 "
影响," 4,387 "," 4,387 "
分钟," 4,374 "," 4,374 "
六零," 4,367 "," 4,367 "
咨询," 4,358 "," 4,358 "
用途," 4,312 "," 4,312 "
打扰到," 4,286 "," 4,286 "
杨," 4,269 "," 4,269 "
推出," 4,236 "," 4,236 "
样子," 4,232 "," 4,232 "
建议您," 4,216 "," 4,216 "
方式," 4,209 "," 4,209 "
门店," 4,181 "," 4,181 "
零三," 4,179 "," 4,179 "
八年," 4,170 "," 4,170 "
就行了," 4,117 "," 4,117 "
查看," 4,110 "," 4,110 "
二四," 4,076 "," 4,076 "
一期," 4,059 "," 4,059 "
小时," 4,052 "," 4,052 "
十二," 4,046 "," 4,046 "
登录," 4,046 "," 4,046 "
信用度," 4,033 "," 4,033 "
九九," 4,030 "," 4,030 "
十分钟," 4,016 "," 4,016 "
十," 3,988 "," 3,988 "
三天," 3,976 "," 3,976 "
希望," 3,927 "," 3,927 "
家庭," 3,879 "," 3,879 "
事情," 3,815 "," 3,815 "
二五," 3,786 "," 3,786 "
同意," 3,774 "," 3,774 "
省," 3,773 "," 3,773 "
喂喂," 3,756 "," 3,756 "
写," 3,748 "," 3,748 "
九月," 3,740 "," 3,740 "
掉," 3,719 "," 3,719 "
五万元," 3,712 "," 3,712 "
剩余," 3,700 "," 3,700 "
身份," 3,699 "," 3,699 "
到期," 3,696 "," 3,696 "
还清," 3,693 "," 3,693 "
几号," 3,685 "," 3,685 "
挂," 3,657 "," 3,657 "
资料," 3,652 "," 3,652 "
九百," 3,638 "," 3,638 "
一张," 3,631 "," 3,631 "
五笔," 3,621 "," 3,621 "
不到," 3,611 "," 3,611 "
刚刚," 3,609 "," 3,609 "
三八," 3,588 "," 3,588 "
收到," 3,556 "," 3,556 "
三十," 3,554 "," 3,554 "
听到," 3,547 "," 3,547 "
八百," 3,532 "," 3,532 "
给到," 3,475 "," 3,475 "
十五," 3,466 "," 3,466 "
九三," 3,458 "," 3,458 "
王女士," 3,457 "," 3,457 "
稍微," 3,440 "," 3,440 "
真的," 3,422 "," 3,422 "
名额有限," 3,367 "," 3,367 "
八月," 3,339 "," 3,339 "
本次," 3,327 "," 3,327 "
填," 3,295 "," 3,295 "
是因为," 3,284 "," 3,284 "
万," 3,274 "," 3,274 "
张女士," 3,271 "," 3,271 "
上次," 3,268 "," 3,268 "
总共," 3,259 "," 3,259 "
二三," 3,253 "," 3,253 "
付," 3,253 "," 3,253 "
偿付," 3,248 "," 3,248 "
登记," 3,243 "," 3,243 "
一遍," 3,240 "," 3,240 "
之间," 3,240 "," 3,240 "
不行," 3,238 "," 3,238 "
天," 3,228 "," 3,228 "
家人," 3,227 "," 3,227 "
原因," 3,216 "," 3,216 "
李," 3,215 "," 3,215 "
成功," 3,209 "," 3,209 "
王先生," 3,187 "," 3,187 "
经理," 3,155 "," 3,155 "
音长," 3,128 "," 3,128 "
折扣," 3,120 "," 3,120 "
六二," 3,109 "," 3,109 "
说话," 3,106 "," 3,106 "
商品," 3,105 "," 3,105 "
三九," 3,103 "," 3,103 "
生效," 3,086 "," 3,086 "
有效期," 3,084 "," 3,084 "
提交," 3,073 "," 3,073 "
五百," 3,069 "," 3,069 "
爱人," 3,047 "," 3,047 "
家里," 3,045 "," 3,045 "
